name,is_company,website,email,phone,street,city,country_id,is_faizy_vendor,faizy_vendor_type,faizy_vendor_state,faizy_vendor_service_ids,faizy_vendor_note
Kaacib,True,https://kaacib.com/,info@kaacib.com,+92 304 1110203,,Karachi,Pakistan,True,Repair / Home Services,Prospect,"Repairs & Vendors,Maid & Cleaning","WhatsApp +92 325 1522242. CONTACT VERIFIED from their site. On-demand home and auto services across Karachi: electrician, plumber, AC technician, generator, CCTV, cleaning, car and bike mechanics. Also runs B2B facility management. Booking via kaacib.com/make-appointment or WhatsApp. They dispatch their own vetted technicians through their own worker app, so a Faizy repair job can be handed over end to end rather than sourced tradesman by tradesman."
Asani,True,https://asani.io/,,,"Office 207, National Aerospace Science & Technology Park (NASTP)",Karachi,Pakistan,True,Repair / Home Services,Prospect,Repairs & Vendors,"ADDRESS VERIFIED from their site; no phone or email published. Water management for homes and commercial sites: smart tank level indicators, automatic and app-controlled motor controllers, level alerts. From Rs. 35,000 including consultancy, installation and after-sales, 12-month warranty. Sold via a site visit — a Faizy job here is attending the survey on the family's behalf, then the install. Relevant when elderly parents cannot manage tanks and motors themselves."
Haazir,True,https://haazir.tech/,,,,,,True,,Prospect,,UNKNOWN — site unreachable from the build environment and no page supplied yet. Name and website only. Set the type and city before using this record.
Dawaai,True,https://dawaai.pk/,,,,Karachi,Pakistan,True,Pharmacy,Prospect,Medicines & Pharmacy,"RESEARCHED LEAD — not contacted, contact details not verified. Online pharmacy, nationwide delivery, selected medicines within 60 minutes of order confirmation in Karachi."
Chughtai Pharmacy,True,https://chughtailab.com/chughtai-pharmacy/,,,,Lahore,Pakistan,True,Pharmacy,Prospect,Medicines & Pharmacy,"RESEARCHED LEAD — not contacted, contact details not verified. Pharmacy arm of Chughtai Lab. In-store and online medicine delivery across Lahore, free delivery on eligible orders. Same group as the lab below, so one commercial conversation could cover both."
MedicalStore.com.pk,True,https://medicalstore.com.pk/,,,,Karachi,Pakistan,True,Pharmacy,Prospect,Medicines & Pharmacy,"RESEARCHED LEAD — not contacted, contact details not verified. Online pharmacy ordering 24/7 by web or app from Karachi, Lahore and nationwide. Free delivery in Karachi above Rs. 1500 and nationwide above Rs. 3000."
hPharmacy,True,https://hpharmacy.pk/,,,,Lahore,Pakistan,True,Pharmacy,Prospect,Medicines & Pharmacy,"RESEARCHED LEAD — not contacted, contact details not verified. Delivery within 60 minutes of order confirmation in Lahore; nationwide delivery with location-based charges."
Chughtai Lab,True,https://chughtailab.com/,,,,Lahore,Pakistan,True,Diagnostic Lab,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. Serves Karachi, Lahore, Islamabad, Rawalpindi, Faisalabad, Multan, Peshawar and Quetta. Collection-centre network plus home sample collection. Widest city coverage of the labs found."
Dr Essa Laboratory,True,https://dressalab.com/,,,,Karachi,Pakistan,True,Diagnostic Lab,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. One of the largest diagnostic chains: Karachi, Lahore, Islamabad, Gujranwala, Sialkot, Peshawar, Mirpur Khas, Gujrat, Hyderabad. Pathology and imaging with free home sample collection."
Citi Lab,True,https://citilab.com.pk/,,,,Lahore,Pakistan,True,Diagnostic Lab,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. 50+ branches; free home sample collection included in packages within Lahore, Karachi and Islamabad — the three cities Faizy already staffs."
Shifa4U,True,https://www.shifa4u.com/,,,,Islamabad,Pakistan,True,Diagnostic Lab,Prospect,,"RESEARCHED LEAD — not contacted, contact details not verified. Online lab test ordering with free home sampling. Aggregator rather than a single lab, so useful where a specific lab has no branch."
